k3902,2.405214859,,,-
k3903,2.405223985,,,-
k3900,2.166703086,,,-
k3901,2.166689498,,,-
k1258,2.663061899,,,-
k1259,2.620236929,,,-
k3904,2.166764107,,,-
k3905,2.405214859,,,-
k1254,2.711672331,Bhopal,2.092819954,0.017019414
k1255,2.667444092,,,-
k1256,2.341490783,,,-
k1257,2.702019824,Bhopal,2.069210885,0.017019414
k1250,2.679404762,Bhopal,2.37222176,0.006017864
k1251,2.44603889,,,-
k1252,2.142270192,,,0.00371601
k1253,2.346201226,,,-
k2591,2.485251329,Bhopal,2.110015856,0.01549393
k3906,2.405223985,,,-
k3907,2.166764107,,,-
k1650,2.144839041,,,-
k1651,2.32970906,,,-
k1652,2.374934165,,,0.014090096
k1653,2.327992453,,,-
k1654,2.374691285,,,0.01549393
k1655,2.148729748,,,-
k1656,2.324665899,,,-
k1657,2.565159778,,,-
k1658,2.578333231,,,-
k1659,2.131211867,,,-
k2693,2.354276891,Bhopal,2.125354092,0.031877566
k2692,2.475477264,,,-
k2695,2.344516123,,,-
k2694,2.198308503,,,-
k2697,2.372979312,Kerala,2.098234812,0.026786662
k2696,2.344578343,,,-
k1896,2.38896002,,,-
k1897,2.429047181,,,-
k1894,2.449957682,,,-
k1895,2.435469687,,,-
k1892,2.322461341,,,-
k1893,2.449957682,,,-
k1890,2.420753374,,,-
k1891,2.549098277,Bhopal,2.094123688,0.00819808
k2181,2.376440068,,,-
k3908,2.405217097,,,-
k1898,2.407842418,,,-
k1899,2.482149548,,,-
k3909,2.405220285,,,-
k223,2.63980289,Bhopal,2.068914805,8.45E-05
k3369,2.699730695,,,-
k4745,2.105511561,,,-
k2527,2.14585138,,,-
k2526,2.905200199,,,-
k2525,2.430922659,,,0.042788387
k2524,2.237092274,,,-
k2523,2.63973159,Bhopal,2.31901496,0.005416812
k2522,3.115948745,Kerala,2.887986417,0.023444325
k2521,2.762865982,,,-
k2520,2.389016179,,,-
k3836,2.643019383,,,-
k3837,3.115872801,Kerala,2.887884745,0.023444325
k3834,3.11598754,Kerala,2.888039274,0.023444325
k3835,2.77772721,,,-
k3832,3.218403374,Kerala,2.92912074,0.020470096
k3833,2.693268765,Bhopal,2.365959914,0.010020212
k2529,2.907456331,,,-
k2528,2.484370922,Bhopal,2.057189984,0.020470096
k4590,2.105817214,,,-
k4591,2.105502257,,,-
k4592,2.10542019,,,-
k4593,2.105598894,,,-
k4594,2.105719406,,,-
k4595,2.105420436,,,-
k4596,2.105496808,,,-
k4597,2.105418995,,,-
k4598,2.105500518,,,-
k4599,2.105800175,,,-
k4744,2.10550697,,,-
k3363,2.583617952,,,-
k1477,2.551865232,,,-
k1098,2.656310426,,,0.027988671
k1099,2.356073998,,,-
k1096,2.379352482,,,-
k1097,2.749911389,,,-
k1094,2.337834628,,,-
k1095,2.304495417,,,-
k1092,2.463751253,,,-
k1093,2.115128389,,,0.004616475
k1090,2.418310096,,,-
k1091,2.874314848,,,-
k2916,2.129756384,,,-
k2917,2.231033048,,,0.042788387
k2914,2.095462111,,,0.041058648
k2915,2.421041087,,,-
k2912,2.203313285,,,0.042788387
k2913,2.269681355,,,-
k2233,2.612122738,Bhopal,2.154485415,0.023444325
k2232,2.583156636,Bhopal,2.154638316,0.022413714
k2231,2.591969672,Bhopal,2.127249953,0.023444325
k2230,2.678267426,Bhopal,2.249709258,0.034720135
k2237,2.606287072,Bhopal,2.160339583,0.039388522
k2236,2.594647571,,,0.042788387
k2235,2.616373932,Bhopal,2.123117452,0.022413714
k2234,2.673620052,Bhopal,2.244209535,0.034720135
k2239,2.630544958,Kerala,2.200364224,0.016240939
k2238,2.608904446,,,-
k2196,2.501875901,,,-
k4688,2.105420926,,,-
k4689,2.105597262,,,-
k4684,2.105420926,,,-
k4685,2.105597262,,,-
k4686,2.105420926,,,-
k4687,2.105597262,,,-
k4680,2.105515895,,,-
k4681,2.105750676,,,-
k4682,2.105420926,,,-
k4683,2.105597262,,,-
k2699,2.348980769,,,-
k4749,2.1056604,,,-
k2698,2.329313485,,,-
k2354,2.441983488,Bhopal,2.070047788,0.029236891
k2355,2.673630726,,,-
k2356,2.708447887,Bhopal,2.357474198,0.00779162
k2357,2.68080429,,,-
k2350,2.468086138,Bhopal,2.019367864,0.039388522
k2351,2.69992669,Bhopal,2.416004404,0.00779162
k2352,2.431891138,Bhopal,2.070998744,0.029236891
k2353,2.703731576,Bhopal,2.391041718,0.00779162
k2919,2.215329924,,,0.042788387
k2358,2.436577595,Bhopal,2.072268038,0.029236891
k2359,2.726690416,Bhopal,2.191008135,0.010020212
k4748,2.105633292,,,-
k2691,2.490224939,,,-
k2690,2.351534809,,,-
k4489,2.542005466,,,-
k478,2.56434686,,,0.006340374
k479,2.631678884,,,-
k3851,2.571809337,,,-
k474,2.787519935,Bhopal,2.408490807,0.000255497
k475,2.295057124,,,-
k476,2.621648875,,,0.00740331
k477,2.686724169,Bhopal,2.216818015,0.005137094
k470,2.298984398,,,-
k471,3.211088691,,,-
k472,2.804544943,Bhopal,2.600021213,0.008623412
k473,2.658240271,Bhopal,2.030233339,0.004144103
k870,2.423692158,,,-
k871,2.429213898,,,0.036220812
k872,2.292861716,,,-
k873,2.433602663,,,-
k874,2.602431793,,,-
k875,2.535913073,Bhopal,2.099366352,9.74E-05
k876,2.202836123,,,-
k877,2.424011738,,,-
k878,2.39583086,,,-
k879,2.430278412,,,-
k3981,1.953799346,,,0.037776429
k618,2.340022855,,,-
k619,3.164370507,,,-
k1997,2.688690502,,,-
k610,2.646763064,,,-
k611,2.63285998,,,-
k612,2.578291918,,,-
k613,2.41993368,,,-
k614,2.863288405,Bhopal,2.706010555,0.006678356
k615,2.606866536,,,0.022413714
k616,2.611693406,Bhopal,2.018140032,0.003924758
k617,2.639130892,,,0.017019414
k588,2.563834507,,,-
k589,2.437693353,,,-
k2084,2.332358081,Bhopal,2.033149621,0.007032448
k580,2.529226666,,,0.037776429
k581,2.612319812,,,0.037776429
k582,2.329654126,,,-
k583,2.577594004,Bhopal,2.111553287,2.23E-05
k584,2.733868149,Bhopal,2.42003799,0.001248781
k585,2.316147407,,,-
k586,2.492099374,,,-
k587,2.659175323,,,-
k3331,2.726904823,,,-
k3330,2.726910033,,,-
k3333,2.726906838,,,-
k3332,2.726904527,,,-
k3335,2.726907956,,,-
k3334,2.588594544,,,-
k3337,2.726905977,,,-
k3336,2.726906621,,,-
k3339,2.498287826,,,-
k3338,2.372177812,,,-
k3169,2.406202533,,,-
k3573,2.307889423,,,-
k908,2.448854044,,,-
k909,2.30796939,,,-
k278,2.682182161,Bhopal,2.30819823,0.010020212
k279,2.635873204,Bhopal,2.152021976,0.017019414
k904,2.415756975,,,-
k905,2.343784311,,,-
k906,2.392090411,,,-
k275,2.632918588,Bhopal,2.172470928,0.002661756
k272,2.7070284,Bhopal,2.3508945,0.001407238
k273,2.708638553,,,-
k270,2.336609312,,,-
k271,2.826207157,,,-
k2826,2.193185415,,,-
k725,3.076515782,,,-
k726,2.544075933,,,-
k727,2.587838387,,,-
k720,2.395701274,,,-
